ProjectsController.java,edu.ucsb.cs.citelines.controller.ProjectsController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,lambda$deleteProject$2,144,KILLED,edu.ucsb.cs.citelines.controller.ProjectsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ProjectsControllerTests]/[method:delete_throws_not_found_for_nonexistent_project()]
ProjectsController.java,edu.ucsb.cs.citelines.controller.ProjectsController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,lambda$getProjectById$0,101,KILLED,edu.ucsb.cs.citelines.controller.ProjectsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ProjectsControllerTests]/[method:get_by_id_throws_not_found_for_nonexistent_project()]
ProjectsController.java,edu.ucsb.cs.citelines.controller.ProjectsController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,lambda$updateProject$1,122,KILLED,edu.ucsb.cs.citelines.controller.ProjectsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ProjectsControllerTests]/[method:update_throws_not_found_for_nonexistent_project()]
ProjectsController.java,edu.ucsb.cs.citelines.controller.ProjectsController,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,listForCollaborator,84,KILLED,edu.ucsb.cs.citelines.controller.ProjectsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ProjectsControllerTests]/[method:a_user_can_list_projects_they_collaborate_on()]
ProjectsController.java,edu.ucsb.cs.citelines.controller.ProjectsController,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,listForOwner,71,KILLED,edu.ucsb.cs.citelines.controller.ProjectsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ProjectsControllerTests]/[method:a_researcher_can_list_their_own_projects()]
ProjectsController.java,edu.ucsb.cs.citelines.controller.ProjectsController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,postProject,58,KILLED,edu.ucsb.cs.citelines.controller.ProjectsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ProjectsControllerTests]/[method:a_researcher_can_post_a_new_project()]
ProjectsController.java,edu.ucsb.cs.citelines.controller.ProjectsController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,updateProject,124,KILLED,edu.ucsb.cs.citelines.controller.ProjectsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ProjectsControllerTests]/[method:owner_can_update_a_project()]
ProjectsController.java,edu.ucsb.cs.citelines.controller.ProjectsController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,updateProject,125,KILLED,edu.ucsb.cs.citelines.controller.ProjectsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ProjectsControllerTests]/[method:owner_can_update_a_project()]
ProjectsController.java,edu.ucsb.cs.citelines.controller.ProjectsController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,updateProject,127,KILLED,edu.ucsb.cs.citelines.controller.ProjectsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ProjectsControllerTests]/[method:owner_can_update_a_project()]
ResearchersController.java,edu.ucsb.cs.citelines.controller.ResearchersController,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,allResearchers,41,KILLED,edu.ucsb.cs.citelines.controller.ResearchersControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ResearchersControllerTests]/[method:logged_in_admins_can_get()]
